ID|GTIN|Identifier_exists|Title|Availability|availability_date|"Brand name"|Link|"Image URL"|"Item subtitle"|Description|product_type|Condition|Price|"Sale Price"|"Contextual keywords"|Google_product_category|size|shipping
48992||false|"Cornwall 2 Door 2 Drawer Desk - Shutter Oak"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbind007-cornwall-2-door-2-drawer-desk-sutter-oak|https://murphyfurniture.ie/158459-large_default/gbind007-cornwall-2-door-2-drawer-desk-sutter-oak.jpg|"Cornwall Desk: 2 Door 2 Drawer - Sutter Oak"|"The Cornwall 2 Door 2 Drawer Desk in Sutter Oak finish is designed to enhance both productivity and style. With a sturdy construction and timeless design, this desk seamlessly integrates into any home or office setting, offering both functionality and sophistication. Crafted for efficiency, it features two spacious drawers and two cabinets, providing ample storage to keep documents, stationery, and gadgets neatly organized. The warm Sutter Oak finish showcases the natural wood grain, creating an inviting atmosphere that inspires creativity and focus. Whether you're working on projects, studying, or pursuing your passions, the Cornwall Desk provides the perfect workspace to support your ambitions.
Key Features:


Elegant Sutter Oak Finish – Showcases natural wood grain for a timeless and sophisticated look.


Spacious Storage – Includes two drawers and two cabinets for organized storage of documents, stationery, and accessories.


Durable Construction – Built for long-lasting stability and everyday use.


Versatile Design – Ideal for home offices, study areas, or professional workspaces.


Seamless Integration – Minimalist style complements various interior decor themes.


Dimensions: W x D x L: 
Flat packed, assembly will be required."|Furniture|new|"339 EUR"||Cornwall;2;Door;2;Drawer;Desk;-;Shutter;Oak|436||"IE:::0 EUR"
49306||false|"Hampshire Coffee Table - Larico Pine"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbpor005-hampshire-coffee-table-light-sibu-larch-larico-pine|https://murphyfurniture.ie/150331-large_default/gbpor005-hampshire-coffee-table-light-sibu-larch-larico-pine.jpg|"Hampshire Coffee Table - Larico Pine"|"A modern living room would not be functional if it lacked a stable coffee table - this is why we designed this coffee table from the Hampshire collection. With daily use in mind, the top of the furniture has been covered with a material that strengthens its resistance to scratching and other mechanical damage. An additional shelf placed under the top line significantly increases the usable space of the table. You can arrange the current magazines, remote controls and trinkets on it, so that the table top is always tidy.
Dimensions W x L x H: 60 x 115 x 50 cm
This collection is on display in our 5 shops. Click here to view.
Flat packed, assembly will be required."|Furniture|new|"99 EUR"||Hampshire;Coffee;Table;-;Larico;Pine|436||"IE:::0 EUR"
49307||false|"Hampshire 2 Door 1 Drawer Wardrobe - Larico Pine"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbpor013-hampshire-2-door-1-drawer-wardrobe-sibu-larch-light-larico-pine|https://murphyfurniture.ie/155630-large_default/gbpor013-hampshire-2-door-1-drawer-wardrobe-sibu-larch-light-larico-pine.jpg|"Hampshire 2 Door 1 Drawer Wardrobe - Larico Pine"|"This 2-door Hampshire wardrobe offers a practical and stylish storage solution for your bedroom. Behind the double doors, a sturdy hanging rail provides ample space for clothing, while the bottom section is ideal for footwear or additional storage. An external drawer offers extra space for smaller items. Designed for ease of use, the wardrobe features standard quality drawer slides with a blocking mechanism and hinges that allow for front adjustment in three planes. Finished with pointed silver handles, it combines functionality with a subtle decorative touch for a modern look.
Key Features:

2-Door Wardrobe – Spacious storage for clothing and accessories
Hanging Rail – Provides ample space for hanging garments
Bottom Storage Area – Ideal for footwear or extra storage needs
External Drawer – Additional storage for smaller items
Smooth Drawer Slides – Equipped with a blocking mechanism for safety
Adjustable Hinges – Allow for front adjustment in three planes
Silver Handles – Elegant, pointed design for easy opening
Modern and Practical Design – A stylish addition to any bedroom

Dimensions: 88.5 x 55.5 x 199.5 cm
This collection is on display in our five shops. Click here to view.
Flat packed, assembly will be required."|Furniture|new|"239 EUR"||Hampshire;2;Door;1;Drawer;Wardrobe;-;Larico;Pine|436||"IE:::0 EUR"
49457||false|"Hampshire 4 Drawer Chest - Larico Pine"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbpor007-hampshire-4-drawer-chest-light-sibu-larch-larico-pine|https://murphyfurniture.ie/150329-large_default/gbpor007-hampshire-4-drawer-chest-light-sibu-larch-larico-pine.jpg|"Hampshire 4 Drawer Chest - Larico Pine"|"The Hampshire chest has four drawers which is ideal for all your small items and trinkets. Large storage space allows you to make sure that every item you need has its place.  Spacious drawers are easy to use and has drawer slides with a blocking mechanism. Furniture fronts are equipped with pointed silver handles - a subtle decorative element, that completes the look and allows for easy opening of the fronts. The top can become a great place for displaying decorations and small items.
Dimensions W x D x H: 88.5 x 40 x 94 cm
This collection is on display in our 5 shops. Click here to view.
Flat packed, assembly will be required."|Furniture|new|"169 EUR"||Hampshire;4;Drawer;Chest;-;Larico;Pine|436||"IE:::0 EUR"
49843||false|"Hampshire 1 Door 1 Drawer Bedside - Larico Pine"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbpor022-hampshire-1-door-1-drawer-cabinet-light-sibu-larch-larico-pine|https://murphyfurniture.ie/150328-large_default/gbpor022-hampshire-1-door-1-drawer-cabinet-light-sibu-larch-larico-pine.jpg|"Hampshire 1 Door 1 Drawer Bedside - Larico Pine"|"The hallway is a showpiece of the house, make sure that it encourages you to travel inside it from the very threshold. This Hampshire storage cabinet will not take up a lot of space and will help you keep your personal belongings and everyday essentials organised. It is also a great place to store shoe cleaning supplies and your collection of slippers. Simple construction is topped with a stable top - it can be used the way you want. The cabinet is equipped with one, easy moving drawer and a lockable cabinet with two compartments.Dimensions W x D x H: 53.5 x 40 x 78.5 cm
This collection is on display in our 5 shops. Click here to view.
Flat packed, assembly will be required."|Furniture|new|"99 EUR"||Hampshire;1;Door;1;Drawer;Bedside;-;Larico;Pine|436||"IE:::0 EUR"
49888||false|"Cheshire 1 Door 1 Drawer Desk - Tacho Oak/white Gloss"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbzla004-cheshire-desk-tacho-oak-white-gloss|https://murphyfurniture.ie/158443-large_default/gbzla004-cheshire-desk-tacho-oak-white-gloss.jpg|"Cheshire 1 Door 1 Drawer Desk - Tacho Oak/White Gloss"|"The Cheshire collection is designed for those who appreciate modern style and the timeless beauty of oak furniture. Featuring a tacho oak body paired with sleek white gloss fronts, this range blends simplicity with elegance. The modern aesthetic is highlighted by integrated handles along the upper edge, a push-to-open mechanism, and tempered glass inserts in the windows. With a variety of modular shapes, the Cheshire collection is perfect for arranging a stylish bedroom, living room, or youth room.
Key Features:


Modern Design – A combination of tacho oak and white gloss for a stylish, contemporary look.


Integrated Handles – Seamlessly built into the upper edge for a sleek finish.


Push-to-Open Mechanism – Provides easy access without the need for visible handles.


Tempered Glass Inserts – Enhances the design with a refined touch.


Modular Collection – Offers versatile options to suit different spaces, including bedrooms, living rooms, and youth rooms.


Dimensions: W x L x H: 60 x 120 x 76 cm
Flat packed, assembly will be required."|Furniture|new|"139 EUR"||Cheshire;1;Door;1;Drawer;Desk;-;Tacho;Oak/White;Gloss|436||"IE:::0 EUR"
50046||false|"Cheshire 2 Door 1 Drawer Wardrobe - Tacho Oak/white Gloss"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbzla011-cheshire-2-door-1-drawer-wardrobe-tacho-oak-white-gloss|https://murphyfurniture.ie/92983-large_default/gbzla011-cheshire-2-door-1-drawer-wardrobe-tacho-oak-white-gloss.jpg|"Cheshire 2 Door 1 Drawer Wardrobe - Tacho Oak/White Gloss"|"The Cheshire collection has been created for those who like modernity and for those who appreciate the beauty of oak furniture. The body in tacho oak is combined with white gloss fronts, combining simplicity with elegance. The modern character is emphasized by the handles integrated with the upper edge of the fronts, the push to open mechanism and the tempered glass in the windows. Diverse shapes from the Cheshire modular collection will facilitate the arrangement of a bedroom, a living room and a youth room.
Dimensions W x D x H: 90.5 x 56.5 x 195 cm
This collection is on display in our 5 shops. Click here to view.
Please measure before ordering.
Flat packed, assembly will be required."|Furniture|new|"229 EUR"||Cheshire;2;Door;1;Drawer;Wardrobe;-;Tacho;Oak/White;Gloss|436||"IE:::0 EUR"
50257||false|"Devon 2 Door Combined Wardrobe - Sonoma Oak/white"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbnepsn012-devon-2-door-combined-wardrobe-sonoma-oak-white|https://murphyfurniture.ie/93089-large_default/gbnepsn012-devon-2-door-combined-wardrobe-sonoma-oak-white.jpg|"Devon 2 Door Combined Wardrobe - Sonoma Oak/White"|"The Devon wardrobe is perfect for the hall or bedroom. The wardrobe provides functionality and better quality that will be appreciated by young and old. The 2 door wardrobe was created for practical equipment of a wardrobe and a hall or bedroom. The interior division of the wardrobe - the upper shelf and a bar for hangers has space for children's jackets and your coats and extra shelves behind the right side door. Use shoe boxes and organizers to organize the bottom of the wardrobe. The laminated surface is more resistant to scratching and temperature changes. It is easy to clean. Smooth fronts are adorned by a simple, horizontal handle, which will ensure smooth access to the contents of the furniture.
Dimensions W x D x H: 80 x 54 x196.5 cm
This collection is on display in our 5 shops. Click here to view.
Flat packed, assembly will be required."|Furniture|new|"199 EUR"||Devon;2;Door;Combined;Wardrobe;-;Sonoma;Oak/White|436||"IE:::0 EUR"
50273||false|"Devon 2 Drawer Desk - Sonoma Oak/white"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbnepsn003-devon-2-drawer-desk-sonoma-oak-white|https://murphyfurniture.ie/93093-large_default/gbnepsn003-devon-2-drawer-desk-sonoma-oak-white.jpg|"Devon 2 Drawer Desk - Sonoma Oak/White"|"The Devon desk collection allows you to create an ergonomic space for your home office. Be sure you have a separate space for work and study. In the centre, place a Devon desk, where the child will do their homework and you will complete the documents. You can always have office accessories at hand thanks to 2 compact drawers. Laminated surface protects the furniture against scratches and makes it easier to clean. Easy access to the contents of the drawers is ensured by horizontal handles.
Dimensions W x L x H: 59 x 100 x 75.5 cm
This collection is on display in our 5 shops. Click here to view.
Please measure before ordering.
Flat packed, assembly will be required."|Furniture|new|"99 EUR"||Devon;2;Drawer;Desk;-;Sonoma;Oak/White|436||"IE:::0 EUR"
50335||false|"Lincoln 2 Door 4 Drawer Sideboard - Sonoma Oak"|in_stock||"In Stock"|https://murphyfurniture.ie/furniture-shop/gbkas010-lincoln-2-door-4-drawer-sideboard-sonoma-oak|https://murphyfurniture.ie/150336-large_default/gbkas010-lincoln-2-door-4-drawer-sideboard-sonoma-oak.jpg|"Lincoln 2 Door 4 Drawer Sideboard - Sonoma Oak"|"The Lincoln collection will meet the expectations of all those who appreciate impressively decorated interiors, in which modernity is combined with functionality. The unique appearance of the furniture is ensured by a veneer that perfectly reproduces the grain of natural wood. This sideboard has 4 drawers and 2 cupboard areas, giving you loads of space to be arranged and make it easier to keep order. You can fit many kitchen accessories in them if you wish. Branded hinges enable precise adjustment of the fronts in three planes and ensure their smooth operation. It has a handle-free opening of the fronts and is finished in a sonoma oak colour.
Dimensions W x D x H: 143.5 x 40.5 x 92 cm
This collection is on display in our 5 shops. Click here to view.
Please measure before ordering.
Flat packed, assembly will be required."|Furniture|new|"229 EUR"||Lincoln;2;Door;4;Drawer;Sideboard;-;Sonoma;Oak|436||"IE:::0 EUR"
